,review,stars
139,Very Good Product And Fast Delivery Thanks Amazon,5.0
140,Good,4.0
141,Satisfied with the deal.,4.0
142,Okay product,3.0
143,Liked very much,5.0
144,Average on every parameter.,3.0
145,Just ok about the quality. I guess could been charged little less.,4.0
146,"I bought these for my uncle and he loves them. I got them for 600 only, the best part is its soul, it makes walking so good, the foot doesn’t feel any hard surface at all. Totally worth its price",5.0
147,Am very happy with the product. Well Satisfied. received well packed and  Thanks to Amazon and to the Seller,5.0
148,Good quality and comfortable.1 larger than usual Size fits best.,5.0
149,"The media could not be loaded.
                



 Light weight , nice looking , comfortable , perfectly fit , affordable .",4.0
150,Light weight shoe,5.0
151,"Comfortable , light wiegt ,easy to clean , durable , strong , good for  youngsters and old one too ,One negligible complain OLD stock ,",4.0
152,Good,4.0
153,Nice super fit...,5.0
154,,4.0
155,Packing not good,4.0
156,Good product,4.0
157,"Shoes meant for walking in garden or good roads only , not for running or trekking .The sole is light and soft and any nail or glass piece  can easily enter and cause injury .",3.0
158,This product is very nice and comfortable..,4.0
159,I USED TO STICK TO ADIDAS BRAND AND FIRST TIME BROUGHT CAMPUS SHOES.THIS REVIEW IS AFTER 3 DAYS OF USE:COMFORT: BETTER THAN ADIDASPRICE : 1/4 OF ADIDASLOOK : BETTER THAN ADIDASDURABILITY : TO BE KNOWN AFTER SOME MONTHS.,5.0
160,I don't expect this will last long.,3.0
161,"Very light weight, comfortable fit, good walking shoes, goes well with track pants..",5.0
162,Very nice as per price,4.0
163,"Mind blowing article in budget friendle also comfortable,light weight, easy to clean",5.0
164,Inner sole is very soft and comfortable. Highly Recommended for walking purpose for elderly.Cheers,4.0
165,Light weight and comfortable.,4.0
166,A little bit tight. May be loosen after using a couple of days.,4.0
167,A good product in good price range,5.0
168,Perfect as expected 👍,5.0
169,Very Comfortable to wear for the whole day..,5.0
170,Fully satisfied.... worthy,5.0
171,Comfort for using,5.0
172,"This shoes is very comfortable and nice in look. As per price and manufacturing material I will give 5 out of 5. It is as comfortable as reebok, addidas, and nike shoes.",5.0
173,- Overall good product- Undersurface sole is very soft- Recommended to Treadmill Walkers,4.0
174,Na,5.0
175,I like it,5.0
176,ALLTIME FAVOURITE,5.0
177,Very nice,5.0
178,Insoles are soft. It gives awesome feeling while walking. Light weight. Campus is a brand. So go for it.,3.0
179,"Very good product for walking and daily use, thanks Amazon",4.0
180,Comfortable,4.0
181,Please order one size bigger than your size.,4.0
182,Must buy for jogging or narmal walking.,5.0
183,"The media could not be loaded.
                



 Pros:light weightGood lookingBudget orientedCons:Loose insoleVery thin insole and gets squieezed everytime while walkingInsole material Gets hot withing 15mins of walking and feels uncomfortableYou have to buy separate insole what costs 300 to 600",3.0
184,Good product,4.0
185,Ok to buy,4.0
186,I like the colour and size of the shoes and the best part about it is the brand name itself Campus 👍👍,5.0
187,Price ke hisab se sahi hai,4.0
188,Stylish and comfortableOrder for my father and he liked it,5.0
189,Good and comfortable,5.0
190,These shoes are very comfortable during walking and running with no pain in ankles or legs. Best part is they are at very cheap price compare to other walking and running shoes.,5.0
191,,5.0
192,Good product from campus company,4.0
193,"I am very happy with this choice, *** Campus springyflex inner sole, perfect fit, not to expensive, breathable material, enjoying it.",5.0
194,Good,5.0
195,"This pair is goodmlooking and nice for walk, light weight and perfect fit. Only problem is with insoles, that are too light and one feel uncomfort while jogging, by the time pass, this will become intolerable. Buy, insole to protect your feet. But, it's worth at below Rs 600/-.",4.0
196,Difficult to wearas elastic is not provided .,3.0
197,Value for money,4.0
198,मुझे ये जूता बहुत पसंद है कन्फर्ट हल्का ओर आरामदायक है,4.0
199,Quality is not good and dont expect comfort from this product not so much good it is so..so...,3.0
200,"The media could not be loaded.
                



 This product is not comfortable and looking wise not good and quality very very poor",3.0
201,Wow,5.0
202,Nice product,4.0
203,Nice shoe,4.0
204,Good and comfortable product.,4.0
205,Very light and good,4.0
206,Good,4.0
207,Thank you,3.0
208,Just go for it the comfort is next level u can't get this comfort at this price range,5.0
209,Very nice product as expectedHighly recommended in this price range,5.0
210,Very nice product,5.0
211,Super 👞,5.0
212,Good product at 500,5.0
213,Aswm,4.0
214,Good quality but feeting is bit uncomfortable,3.0
215,The shoe is very lightweight and very comfortable. A little tight as per the measurement. but manageable.,5.0
216,Good product 👍 very comfortable and lite wight for walking 🙂 and delivered super fast 😎🤗 brought for my dad was happy😁,4.0
217,Very comfortable to wear especially for long distance walking.,5.0
218,Good looking and comfortable,4.0
219,For daily use,4.0
220,Really very nice product more than expectations.,5.0
221,Good,4.0
222,Very nice,4.0
223,Must try very nice product,5.0
224,Very comfortable to wear,5.0
225,"The media could not be loaded.
                



 Colour miss match",4.0
226,Very good product,5.0
227,Nothing to dislike,4.0
228,Comfortable to ware but loosen from side to side not look classy..,5.0
229,very comfortable reviewing after 1 month used.,4.0
230,Good,4.0
231,Size is so small,4.0
232,Like,4.0
233,Good,4.0
234,Value for money Good Product in this price range.,5.0
235,awesome,5.0
236,Al product of campus is the best product.V. Nice product . Thanks for amezan and campus,5.0
237,Campus shoes are very good at this price.You all can take this honor at this price..,4.0
238,Good comfortable shoes.,5.0
239,Good comfort,5.0
240,पहनने में बहुत ही कंफर्टेबल और  सान दार क्वालिटी,5.0
241,good,5.0
242,"Acha lgra dekhne me , fir bhi hai",4.0
243,Good,4.0
244,Fine,4.0
245,Shoes are extremely comfortable and light. I liked them so much that I decided to buy two extra pairs for my parents as well.,4.0
246,"The media could not be loaded.
                



 Shoe's Quality west but colour different h..",3.0
247,"Finishing is good, but it is definitely not for workout or jogging. Better fit for walking or casual outing.",4.0
248,Good shoes very comfortable shoes and size is good,5.0
249,Material is awesome. So comfortable while brisk walk. Sole is amazing. Much better than other brands.,5.0
250,Need to improve sole softness,3.0
251,If you like go for it in a rand of 499,4.0
252,Color & look is GoodPlz buy just 1-2 inch bigger than ur actual sizeKeep feet perfectly warmGood at low priceComfortable sole insideIf U wnt to buy go for itThat's it.🙂🙂,4.0
253,Regular use shoes very good,5.0
254,Light weight,4.0
255,Complete 💯✅,5.0
256,"Product is very light and comfortable, but it seems that it is one size less. So if anyone wear Size 9 , he should order size 10 uk/india.",4.0
257,Fully comfortable,5.0
258,Good...,5.0
259,This is my 2nd pair. These are the most comfortable pair of shoes available. The pricing is also very reasonable.,5.0
260,"Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:00Loaded: 0%Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:00 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionsCaptions off, selectedAudio TrackFullscreenThis is a modal window.


 Nice and comfort good feelings",3.0
261,बहुत अच्छा है और आरामदायक भी है,5.0
262,"The name of the product supplied was different. It was not oxyfit. But since the product is of satisfactory quality, it's okay. It's lightweight and easy to carry along.",5.0
263,Not for winters feeling cool,3.0
264,Good product 👍,4.0
265,"अच्छा shose है, अपने size से 1 no,बड़ा size ऑर्डर kare।",4.0
266,I like,4.0
267,It's not looking stylish. I took black one. Easily attracts dust. Comfortable and light weight.,4.0
268,👍👍👌🏻,4.0
269,Size is not proper,3.0
270,Very nice quality and feels pleasure n very soft while walking.. I suggest everyone to take,5.0
271,Not bad in comfort,3.0
272,Fit expected,4.0
273,Good warmth for winters!Okay for daily wear. Soft spring effect goes away in a months time. Light weight shoes only for walking. Sole seams to be wearing out too soon.,3.0
274,बहुत ही बढ़िया और शानदार प्रोडक्ट जब से मैंने इसे पहना है तब से मैं इसे तीसरी बार खरीद रहा हूं,4.0
275,nice product,5.0
276,Cool shoes,5.0
277,Jabardast,4.0
278,It is good for walking through out the day and very comfy and cozy shoes along with this fit as expected 4.8/5,5.0
279,When I used without shocks it was not good as when I took out shoes paitaba also came out.,4.0
280,Sole came out just after 2 days of normal walk. I don't think it is genuine.,3.0
